Team,Wins,Losses,Win Percentage,Games Back,PPG,OPPG,Point Differential,Home Record,Road Record,Div Record vs Opp,Conf Record vs Opp,Streak,Last 10 Gm,Projected Wins,Div Winner Projection,Post Projection
Milwaukee,13,3,0.813,—,119.8,110.2,9.6,5-1,8-2,5-0,8-2,W7,9-1,57.4,95.8%,99.9%
Boston,11,4,0.733,1.5,110.7,103.8,6.9,5-0,6-4,3-1,7-1,L2,7-3,52.9,30.7%,99.9%
Miami,11,4,0.733,1.5,110.7,104.6,6.1,6-0,5-4,2-0,7-1,L1,7-3,50.8,98.1%,99.9%
Toronto,11,4,0.733,1.5,113.7,106.1,7.6,6-0,5-4,0-1,6-2,W3,7-3,54.3,45.1%,99.9%
Philadelphia,11,5,0.688,2.0,110.3,105.1,5.2,7-0,4-5,2-0,8-1,W4,6-4,52.2,24.0%,99.9%
Indiana,9,6,0.6,3.5,107.7,103.3,4.4,6-2,3-4,3-4,8-5,W2,7-3,48.1,4.2%,99.2%
Brooklyn,7,8,0.467,5.5,113.7,115.3,-1.6,5-3,2-5,1-0,3-3,W2,5-5,41.3,<1.0%,77.6%
Orlando,6,9,0.4,6.5,102.1,102.9,-0.8,6-3,0-6,1-1,4-6,L2,4-6,38.6,1.6%,50.7%
Washington,5,8,0.385,6.5,120.1,120.8,-0.7,3-3,2-5,1-1,2-4,W2,4-6,34.5,<1.0%,14.3%
Charlotte,6,11,0.353,7.5,106.3,113.7,-7.4,3-5,3-6,0-1,4-6,L4,2-8,33.3,<1.0%,9.2%
Chicago,6,11,0.353,7.5,107.9,110.5,-2.6,3-6,3-5,2-4,5-9,W1,4-6,32.0,<1.0%,4.6%
Cleveland,5,11,0.313,8.0,104.3,111.6,-7.3,3-4,2-7,2-2,4-9,W1,3-7,25.7,<1.0%,<1.0%
Detroit,5,11,0.313,8.0,107.5,110.9,-3.4,4-3,1-8,2-4,5-10,L1,3-7,38.0,<1.0%,44.5%
Atlanta,4,12,0.25,9.0,107.8,117.7,-9.9,2-6,2-6,1-2,2-7,L6,1-9,25.3,<1.0%,<1.0%
New York,4,12,0.25,9.0,102.1,109.0,-6.9,3-5,1-7,0-4,2-9,L2,3-7,24.0,<1.0%,<1.0%
L.A. Lakers,14,2,0.875,—,111.9,103.1,8.8,8-1,6-1,3-1,10-1,W7,9-1,57.0,88.4%,99.9%
Denver,11,3,0.7859999999999999,2.0,106.0,101.6,4.4,6-2,5-1,2-0,6-2,W4,8-2,50.8,26.5%,99.8%
Houston,11,5,0.688,3.0,117.9,113.7,4.2,6-1,5-4,3-0,8-2,L2,8-2,49.9,66.2%,99.7%
L.A. Clippers,11,5,0.688,3.0,113.0,107.2,5.8,10-1,1-4,2-1,7-4,W4,7-3,50.6,11.6%,99.8%
Utah,11,5,0.688,3.0,106.4,102.4,4.0,8-1,3-4,2-1,8-5,W3,7-3,54.3,73.4%,99.9%
Dallas,10,5,0.667,3.5,117.9,109.1,8.8,6-3,4-2,3-0,5-2,W4,7-3,47.5,33.8%,98.4%
Phoenix,8,7,0.5329999999999999,5.5,114.4,110.5,3.9,5-5,3-2,3-2,5-5,W1,5-5,37.2,<1.0%,35.6%
Minnesota,8,8,0.5,6.0,113.4,115.3,-1.9,3-6,5-2,1-2,3-5,L2,4-6,36.0,<1.0%,23.6%
Sacramento,6,8,0.429,7.0,105.0,109.5,-4.5,4-3,2-5,1-2,3-5,L1,6-4,37.5,<1.0%,38.6%
New Orleans,6,10,0.375,8.0,116.4,119.6,-3.2,4-4,2-6,0-3,5-6,L1,5-5,32.3,<1.0%,5.9%
San Antonio,6,11,0.353,8.5,112.8,115.4,-2.6,4-4,2-7,0-2,3-6,W1,2-8,31.5,<1.0%,3.8%
Memphis,5,10,0.33299999999999996,8.5,108.9,117.8,-8.9,3-7,2-3,1-2,3-7,L3,4-6,32.5,<1.0%,5.9%
Oklahoma City,5,10,0.33299999999999996,8.5,107.1,107.8,-0.7,5-4,0-6,0-2,3-7,L3,4-6,35.3,<1.0%,18.3%
Portland,5,12,0.294,9.5,112.5,116.3,-3.8,1-4,4-8,1-1,4-7,L4,2-8,40.3,<1.0%,69.7%
Golden St.,3,14,0.17600000000000002,11.5,108.2,118.6,-10.4,1-6,2-8,0-3,3-12,L2,1-9,29.2,<1.0%,<1.0%
